08 июн. 2026 22:06:51,225 system - system - system  INFO RemoteLogger - Executed remote method (time: 4105 ms.): exec(lsfusion.interop.connection.AuthenticationToken@8314746d, lsfusion.interop.connection.ConnectionInfo@f20e1401, Authentication.getClientCredentials, lsfusion.interop.session.ExternalRequest@40e62bbd)
08 июн. 2026 22:07:20,909 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@6d6baeed
08 июн. 2026 22:07:29,760 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - Executed remote method (time: 7705 ms.): getNavigatorTree()
08 июн. 2026 22:12:28,458 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@3d5ad7f0
08 июн. 2026 22:12:59,845 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM OPEN : FORM[1580478350 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:13:06,308 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1128, SID: _ADDFORMNEWSESSION_HockeyTable_teams_t_HockeyTable_Team()]
08 июн. 2026 22:13:06,328 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM OPEN : FORM[923286000 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:13:11,759 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues started: Thread[#66,RMI:HockeyTable.team, TID - (66),5,RMI Runtime], indices : (-1,0,1), value : 
08 июн. 2026 22:13:11,791 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues ended: Thread[#66,RMI:HockeyTable.team, TID - (66),5,RMI Runtime], indices : (-1,0,1)
08 июн. 2026 22:13:51,811 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 913, SID: name(t)]
08 июн. 2026 22:13:51,821 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 913, SID: name(t)]
08 июн. 2026 22:13:51,822 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 876, SID: formApply()]
08 июн. 2026 22:13:52,080 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 876, SID: formApply()]
08 июн. 2026 22:15:02,934 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1022, SID: _NEW_HockeyTable_team_p()]
08 июн. 2026 22:15:02,960 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1022, SID: _NEW_HockeyTable_team_p()]
08 июн. 2026 22:15:04,687 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues started: Thread[#68,RMI:HockeyTable.team, TID - (68),5,RMI Runtime], indices : (-1,0,2), value : 
08 июн. 2026 22:15:04,707 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues ended: Thread[#68,RMI:HockeyTable.team, TID - (68),5,RMI Runtime], indices : (-1,0,2)
08 июн. 2026 22:15:05,517 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 966, SID: name(p)]
08 июн. 2026 22:15:05,522 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 966, SID: name(p)]
08 июн. 2026 22:15:07,305 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1031, SID: _DELETE(p)]
08 июн. 2026 22:15:07,310 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1031, SID: _DELETE(p)]
08 июн. 2026 22:15:10,177 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 876, SID: formApply()]
08 июн. 2026 22:15:10,215 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 876, SID: formApply()]
08 июн. 2026 22:15:11,273 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 878, SID: formOk()]
08 июн. 2026 22:15:11,304 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM HIDE : FORM[923286000 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:15:11,304 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 878, SID: formOk()]
08 июн. 2026 22:15:11,304 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[923286000 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:15:11,505 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1128, SID: _ADDFORMNEWSESSION_HockeyTable_teams_t_HockeyTable_Team()]
08 июн. 2026 22:15:15,409 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1128, SID: _ADDFORMNEWSESSION_HockeyTable_teams_t_HockeyTable_Team()]
08 июн. 2026 22:15:15,416 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM OPEN : FORM[513515078 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:15:15,906 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT UNREFERENCED RF[FORM[923286000 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:15:16,579 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[923286000 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:15:17,106 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues started: Thread[#83,RMI:HockeyTable.team, TID - (83),5,RMI Runtime], indices : (-1,0,1), value : 
08 июн. 2026 22:15:17,119 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues ended: Thread[#83,RMI:HockeyTable.team, TID - (83),5,RMI Runtime], indices : (-1,0,1)
08 июн. 2026 22:15:19,096 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues started: Thread[#83,RMI:HockeyTable.team, TID - (83),5,RMI Runtime], indices : (-1,0,2), value : Л
08 июн. 2026 22:15:19,267 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues ended: Thread[#83,RMI:HockeyTable.team, TID - (83),5,RMI Runtime], indices : (-1,0,2)
08 июн. 2026 22:15:21,583 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[923286000 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:15:21,584 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM CLOSE : FORM[923286000 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:15:31,187 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 913, SID: name(t)]
08 июн. 2026 22:15:31,190 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 913, SID: name(t)]
08 июн. 2026 22:15:31,191 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 878, SID: formOk()]
08 июн. 2026 22:15:31,343 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM HIDE : FORM[513515078 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:15:31,344 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 878, SID: formOk()]
08 июн. 2026 22:15:31,344 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[513515078 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:15:31,535 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1128, SID: _ADDFORMNEWSESSION_HockeyTable_teams_t_HockeyTable_Team()]
08 июн. 2026 22:15:36,725 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[513515078 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:15:39,437 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM OPEN : FORM[1196504799 - HockeyTable.players,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:15:41,735 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[513515078 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:15:41,736 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM CLOSE : FORM[513515078 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:15:43,800 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1183, SID: _ADDFORMNEWSESSION_HockeyTable_players_p_HockeyTable_Player()]
08 июн. 2026 22:15:43,809 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM OPEN : FORM[1665213318 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:15:45,205 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues started: Thread[#82,RMI:HockeyTable.player, TID - (82),5,RMI Runtime], indices : (-1,0,1), value : 
08 июн. 2026 22:15:45,206 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues ended: Thread[#82,RMI:HockeyTable.player, TID - (82),5,RMI Runtime], indices : (-1,0,1)
08 июн. 2026 22:15:59,401 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1148, SID: name(p)]
08 июн. 2026 22:15:59,408 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1148, SID: name(p)]
08 июн. 2026 22:16:01,682 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1154, SID: number(p)]
08 июн. 2026 22:16:01,686 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1154, SID: number(p)]
08 июн. 2026 22:16:01,689 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1159, SID: playerTeam(p)]
08 июн. 2026 22:16:01,694 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM OPEN : FORM[1380215331 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:16:24,289 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1062, SID: formOk()]
08 июн. 2026 22:16:24,289 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM HIDE : FORM[1380215331 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:16:24,289 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1062, SID: formOk()]
08 июн. 2026 22:16:24,290 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1380215331 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:16:24,312 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1159, SID: playerTeam(p)]
08 июн. 2026 22:16:26,721 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1159, SID: playerTeam(p)]
08 июн. 2026 22:16:26,726 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM OPEN : FORM[1877522529 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:16:28,664 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1062, SID: formOk()]
08 июн. 2026 22:16:28,664 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM HIDE : FORM[1877522529 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:16:28,665 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1062, SID: formOk()]
08 июн. 2026 22:16:28,665 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1877522529 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:16:28,682 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1159, SID: playerTeam(p)]
08 июн. 2026 22:16:29,309 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1380215331 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:16:33,693 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1877522529 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:16:34,319 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1380215331 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:16:34,319 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM CLOSE : FORM[1380215331 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:16:35,591 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1141, SID: formOk()]
08 июн. 2026 22:16:35,675 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM HIDE : FORM[1665213318 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:16:35,675 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1141, SID: formOk()]
08 июн. 2026 22:16:35,675 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1665213318 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:16:35,795 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1183, SID: _ADDFORMNEWSESSION_HockeyTable_players_p_HockeyTable_Player()]
08 июн. 2026 22:16:38,704 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1877522529 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:16:38,704 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM CLOSE : FORM[1877522529 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:16:40,829 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1665213318 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:16:45,830 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1665213318 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:16:45,830 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM CLOSE : FORM[1665213318 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:16:52,584 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1183, SID: _ADDFORMNEWSESSION_HockeyTable_players_p_HockeyTable_Player()]
08 июн. 2026 22:16:52,589 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM OPEN : FORM[357902989 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:16:54,093 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues started: Thread[#83,RMI:HockeyTable.player, TID - (83),5,RMI Runtime], indices : (-1,0,1), value : 
