08 июн. 2026 16:01:48,750 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 12496, Time : 291, Current connections count : 1
08 июн. 2026 16:01:48,887 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12496, Current connections count : 1
08 июн. 2026 16:01:50,371 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12496, Current connections count : 1
08 июн. 2026 16:01:50,376 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12496, Current connections count : 1
08 июн. 2026 16:01:50,704 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12496, Current connections count : 1
08 июн. 2026 16:01:51,126 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12496, Current connections count : 1
08 июн. 2026 16:01:51,130 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12496, Current connections count : 1
08 июн. 2026 16:01:51,144 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12496, Current connections count : 1
08 июн. 2026 16:01:51,150 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12496, Current connections count : 1
08 июн. 2026 16:01:55,358 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 12900, Time : 221, Current connections count : 2
08 июн. 2026 16:01:55,452 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:01:55,455 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:01:55,461 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:01:55,542 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:01:55,549 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:01:55,870 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:01:55,881 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:01:56,082 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:01:56,090 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:02:33,314 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:33,336 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:37,649 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:37,658 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:37,730 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:37,734 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:37,739 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:37,766 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:37,966 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,076 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,079 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,095 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,192 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,203 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,206 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,218 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,223 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,231 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,234 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,243 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,244 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,271 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,534 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,562 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,620 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,631 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,683 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,695 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,734 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,755 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,757 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:38,757 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:39,163 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:02:39,178 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:02:42,325 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:42,332 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:42,333 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:42,340 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:42,341 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:42,351 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:42,353 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:42,381 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:43,302 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:43,307 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:43,308 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:43,321 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:43,607 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:43,609 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:43,610 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:43,615 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:43,649 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:43,886 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12496, Current connections count : 2
08 июн. 2026 16:02:44,085 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12900, Current connections count : 2
08 июн. 2026 16:02:45,237 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 1664, Time : 195, Current connections count : 3
08 июн. 2026 16:02:45,251 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 1664, Current connections count : 3
08 июн. 2026 16:02:52,121 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,125 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,126 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,128 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,129 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,131 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,132 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,134 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 12900, Current connections count : 3
08 июн. 2026 16:02:52,135 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 12900, Current connections count : 3
